"Var1","Var2","radius"
-8.55,41.09,0.01
-8.54,41.09,0.01
-8.53,41.09,0.01
-8.52,41.09,0.01
-8.51,41.09,0.01
-8.5,41.09,0.01
-8.49,41.09,0.01
-8.48,41.09,0.01
-8.47,41.09,0.01
-8.46,41.09,0.01
-8.45,41.09,0.01
-8.7,41.1,0.01
-8.69,41.1,0.01
-8.68,41.1,0.01
-8.67,41.1,0.01
-8.66,41.1,0.01
-8.65,41.1,0.01
-8.64,41.1,0.01
-8.63,41.1,0.01
-8.62,41.1,0.01
-8.61,41.1,0.01
-8.6,41.1,0.01
-8.59,41.1,0.01
-8.58,41.1,0.01
-8.57,41.1,0.01
-8.56,41.1,0.01
-8.55,41.1,0.01
-8.54,41.1,0.01
-8.53,41.1,0.01
-8.52,41.1,0.01
-8.51,41.1,0.01
-8.5,41.1,0.01
-8.49,41.1,0.01
-8.48,41.1,0.01
-8.47,41.1,0.01
-8.46,41.1,0.01
-8.45,41.1,0.01
-8.7,41.11,0.01
-8.69,41.11,0.01
-8.68,41.11,0.01
-8.67,41.11,0.01
-8.66,41.11,0.01
-8.65,41.11,0.01
-8.64,41.11,0.01
-8.63,41.11,0.01
-8.62,41.11,0.01
-8.61,41.11,0.01
-8.6,41.11,0.01
-8.59,41.11,0.01
-8.58,41.11,0.01
-8.57,41.11,0.01
-8.56,41.11,0.01
-8.55,41.11,0.01
-8.54,41.11,0.01
-8.53,41.11,0.01
-8.52,41.11,0.01
-8.51,41.11,0.01
-8.5,41.11,0.01
-8.49,41.11,0.01
-8.48,41.11,0.01
-8.47,41.11,0.01
-8.46,41.11,0.01
-8.45,41.11,0.01
-8.7,41.12,0.01
-8.69,41.12,0.01
-8.68,41.12,0.01
-8.67,41.12,0.01
-8.66,41.12,0.01
-8.65,41.12,0.01
-8.64,41.12,0.01
-8.63,41.12,0.01
-8.62,41.12,0.01
-8.61,41.12,0.01
-8.6,41.12,0.01
-8.59,41.12,0.01
-8.58,41.12,0.01
-8.57,41.12,0.01
-8.56,41.12,0.01
-8.55,41.12,0.01
-8.54,41.12,0.01
-8.53,41.12,0.01
-8.52,41.12,0.01
-8.51,41.12,0.01
-8.5,41.12,0.01
-8.49,41.12,0.01
-8.48,41.12,0.01
-8.47,41.12,0.01
-8.46,41.12,0.01
-8.45,41.12,0.01
-8.7,41.13,0.01
-8.69,41.13,0.01
-8.68,41.13,0.01
-8.67,41.13,0.01
-8.66,41.13,0.01
-8.65,41.13,0.01
-8.64,41.13,0.01
-8.63,41.13,0.01
-8.62,41.13,0.01
-8.61,41.13,0.01
-8.6,41.13,0.01
-8.59,41.13,0.01
-8.58,41.13,0.01
-8.57,41.13,0.01
-8.56,41.13,0.01
-8.55,41.13,0.01
-8.54,41.13,0.01
-8.53,41.13,0.01
-8.52,41.13,0.01
-8.51,41.13,0.01
-8.5,41.13,0.01
-8.49,41.13,0.01
-8.48,41.13,0.01
-8.47,41.13,0.01
-8.46,41.13,0.01
-8.45,41.13,0.01
-8.7,41.14,0.01
-8.69,41.14,0.01
-8.68,41.14,0.01
-8.67,41.14,0.01
-8.66,41.14,0.01
-8.65,41.14,0.01
-8.64,41.14,0.01
-8.63,41.14,0.01
-8.62,41.14,0.01
-8.61,41.14,0.01
-8.6,41.14,0.01
-8.59,41.14,0.01
-8.58,41.14,0.01
-8.57,41.14,0.01
-8.56,41.14,0.01
-8.55,41.14,0.01
-8.54,41.14,0.01
-8.53,41.14,0.01
-8.52,41.14,0.01
-8.51,41.14,0.01
-8.5,41.14,0.01
-8.49,41.14,0.01
-8.48,41.14,0.01
-8.47,41.14,0.01
-8.46,41.14,0.01
-8.45,41.14,0.01
-8.7,41.15,0.01
-8.69,41.15,0.01
-8.68,41.15,0.01
-8.67,41.15,0.01
-8.66,41.15,0.01
-8.65,41.15,0.01
-8.64,41.15,0.01
